utc_timestamp,cet_cest_timestamp,EE_load_actual_entsoe_transparency,FI_load_actual_entsoe_transparency,LV_load_actual_entsoe_transparency,SE_load_actual_entsoe_transparency
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,,,
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,764.7,8735.4,645,14485
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,749.8,8626.4,629,14298
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,746.5,8674.1,631,14249
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,754.6,8845.3,644,14268
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,771.2,8877,652,14655
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,788.5,9043.7,655,14994
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,790.7,8994.2,657,15163
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,827.5,9074.1,688,15167
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,861.8,9205.4,719,15670
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,880.8,9306.8,742,16133
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,892.1,9337.8,741,16178
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,898.3,9456,750,16274
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,931,9830.5,772,16531
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,996.1,10159,836,17087
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,999.1,10188,865,17514
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,992.1,10206,863,17627
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,976.4,10184,856,17432
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,956.3,10023,843,16874
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,931.3,9746.8,817,16457
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,884.6,9996.2,763,15887
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,839.6,9829.9,710,15251
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,784.7,9366,653,14791
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,745.7,8956.3,618,14199
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,717.5,8721.2,589,13922
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,708.2,8662.4,577,13647
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,711.2,8739.3,577,13596
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,735.7,9005.8,598,13798
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,792,9607.8,647,14423
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,864.6,10012,709,15552
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,,10333,779,16617
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,,10443,817,17172
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,10340,869,17279
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,1032.2,10288,900,17515
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,,10266,903,17783
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,10329,911,17808
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,10498,914,17661
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,,10748,932,17824
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,,10945,974,18522
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,,10903,983,18926
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,,10911,967,18925
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,,10843,936,18676
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,1021.6,10537,912,18235
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,977.5,10231,869,17692
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,922.1,10306,804,17065
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,866.3,10105,736,16371
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,812.6,9659.9,675,15988
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,768.4,9218,627,15544
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,727.5,8972.2,600,15274
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,728.4,8879.9,588,15464
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,726,8847.4,586,15625
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,741.3,8922.2,606,15600
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,785.9,9220.2,641,15432
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,827.2,9311.6,689,15933
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,873.9,9591.3,748,16350
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,912,9662.6,794,16789
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,960.2,9741.6,841,17252
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,993.4,9850.4,870,17777
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,1011.6,9907.5,873,18011
